BLAL01001008	1
BLAL02402400	1
BLAL03003000	2
BLAL05005000	1
BLAL06006000	1
BLAL10010000	2
BLAM00300300	2
BLAM00400400	27
BLAM00400402	2
BLAM00400404	3
BLAM00600116	1
BLAM00600216	3
BLAM00600316	12
BLAM00600401	1
BLAM00600416	2
BLAM00600600	56
BLAM00600601	2
BLAM00600602	5
BLAM00600604	1
BLAM00600616	17
BLAM00600624	4
BLAM00700700	1
BLAM00800416	1
BLAM00800800	19
BLAM00800802	2
BLAM00800816	2
BLAM01001000	27
BLAM01001002	2
BLAM01001004	1
BLAM01001008	7
BLAM01001016	6
BLAM01001018	2
BLAM01001020	1
BLAM01201200	17
BLAM01201202	2
BLAM01201216	1
BLAM02001000	1
BLAM02002000	20
BLAM02002002	2
BLAS00400400	1
BLAS00600600	69
BLAS00600616	1
BLAS00800800	1
BLAS01001000	7
BLAS01001008	1
BLAS01201200	1
BLAS02002000	1
BLUH02002002	1
BLUL01800216	1
BLUL01801000	1
BLUL01801016	1
BLUL02202200	1
BLUL02400405	1
BLUL02400605	1
BLUL02400805	1
BLUL02401205	1
BLUL02402400	6
BLUL02602600	1
BLUL02802800	1
BLUL03003000	2
BLUL04001005	2
BLUL04002005	1
BLUL06006000	2
BLUL10010000	1
BLUM00300300	2
BLUM00400400	31
BLUM00400404	5
BLUM00500500	1
BLUM00600201	1
BLUM00600216	1
BLUM00600316	2
BLUM00600401	1
BLUM00600516	1
BLUM00600516	1
BLUM00600600	73
BLUM00600601	4
BLUM00600604	1
BLUM00600616	14
BLUM00700700	1
BLUM00800800	21
BLUM00800801	1
BLUM00800804	1
BLUM00900900	1
BLUM01001000	41
BLUM01001004	1
BLUM01001016	17
BLUM01001020	1
BLUM01101100	1
BLUM01201200	21
BLUM01201204	1
BLUM01201216	1
BLUM01301300	1
BLUM01401400	1
BLUM01501500	1
BLUM01601600	1
BLUM01701700	1
BLUM01800400	1
BLUM01800600	1
BLUM01800800	1
BLUM01801200	1
BLUM01801800	1
BLUM01901900	1
BLUM02002000	22
BLUS00600600	101
BLUS00600616	3
BLUS02002000	1
BRAL02002002	1
BROG00600603	1
BROL00600608	1
