BLAL01001008	1
BLAL02402400	1
BLAL03003000	2
BLAL05005000	1
BLAL06006000	1
BLAL10010000	1
BLAM00300300	2
BLAM00400400	21
BLAM00400402	2
BLAM00400404	3
BLAM00600116	1
BLAM00600216	3
BLAM00600316	12
BLAM00600416	2
BLAM00600600	35
BLAM00600601	2
BLAM00600602	3
BLAM00600616	4
BLAM00700700	1
BLAM00800416	1
BLAM00800800	13
BLAM00800802	2
BLAM00800816	2
BLAM01001000	21
BLAM01001002	2
BLAM01001004	1
BLAM01001008	7
BLAM01001018	2
BLAM01001020	1
BLAM01201200	11
BLAM01201202	2
BLAM01201216	1
BLAM02001000	1
BLAM02002000	11
BLAM02002002	2
BLAS00400400	1
BLAS00600600	69
BLAS00600616	1
BLAS00800800	1
BLAS01001000	7
BLAS01001008	1
BLAS01201200	1
BLAS02002000	1
BLUH02002002	1
BLUL01800216	1
BLUL01801000	1
BLUL01801016	1
BLUL02202200	1
BLUL02402400	6
BLUL02602600	1
BLUL02802800	1
BLUL03003000	2
BLUL06006000	2
BLUM00300300	2
BLUM00400400	23
BLUM00400404	5
BLUM00500500	1
BLUM00600216	1
BLUM00600316	2
BLUM00600516	1
BLUM00600600	54
BLUM00600601	4
BLUM00600616	3
BLUM00700700	1
BLUM00800800	13
BLUM00800804	1
BLUM00900900	1
BLUM01001000	33
BLUM01001004	1
BLUM01001016	9
BLUM01001020	1
BLUM01101100	1
BLUM01201200	13
BLUM01201204	1
BLUM01201216	1
BLUM01301300	1
BLUM01401400	1
BLUM01501500	1
BLUM01601600	1
BLUM01701700	1
BLUM01800400	1
BLUM01800600	1
BLUM01800800	1
BLUM01801200	1
BLUM01801800	1
BLUM01901900	1
BLUM02002000	12
BLUS00600600	101
BLUS00600616	3
BROG00600603	1
BROL01800216	1
BROL01801000	1
BROL01801016	1
BROL02002002	1
BROM00400400	6
BROM00600600	4
BROM00600601	2
BROM00800800	1
BROM01001000	2
BROM01001016	1
BROM01201200	1
BROM01800400	1
BROM01800600	1
BROM01800800	1
BROM01801200	1
BROM02002000	1
GOLM00600604	6
GOLM01001016	1
GOLM01201200	1
GRAM00400400	7
GRAM00600200	1
GRAM00600600	5
GRAM00600601	3
GRAM00800800	5
GRAM01001000	3
GRAM01001016	2
GRAM01201200	4
GRAM02002000	2
GREL00600602	2
GREL01001008	1
GREL02402400	2
GREL04804800	1
GREL06006000	1
GREL12012000	1
GREM00300300	1
GREM00400400	12
GREM00400404	2
GREM00600200	1
GREM00600216	1
GREM00600600	48
GREM00800800	12
GREM00800804	1
GREM01001000	16
GREM01001004	1
GREM01001016	4
GREM01001020	1
GREM01201200	5
GREM01201204	1
GREM01201216	1
GREM02001000	1
GREM02002000	4
GRES00600600	21
OFFL02002000	1
OFFM00400400	5
OFFM00600300	1
OFFM00600316	2
OFFM00600416	1
OFFM00600600	45
OFFM00600608	3
OFFM00600616	2
OFFM00800800	9
OFFM01001000	18
OFFM01001016	8
OFFM01201200	8
OFFM01201208	2
OFFM02002000	11
OFFS00600600	21
OFFS00600601	20
ORAM00400400	6
ORAM00600600	14
ORAM00600608	2
ORAM00800800	6
ORAM01001000	2
ORAM01001016	3
ORAM01201200	1
ORAM02002000	1
ORAS00600600	4
PINM00600601	1
PINM00600608	4
PINM01001000	1
PINM01001016	1
PINM02002000	5
PURM00600600	1
PURM00600616	1
PURM00800800	3
PURM01001000	1
PURM01201200	1
PURS00600600	20
REDL01201216	1
REDM00100604	2
REDM00400400	14
REDM00600216	1
REDM00600316	3
REDM00600516	1
REDM00600600	8
REDM00600601	6
REDM00600608	10
REDM00800800	8
REDM01001000	24
REDM01001016	6
REDM01201200	4
REDM01201216	1
REDM02002000	6
REDS00600600	57
REDS00600616	2
SILM00600602	4
TANL00600600	2
TANM00600610	3
TRAL02010004	1
TRAM00400400	1
TRAM00800800	1
TRAM01001000	1
TRAM01001016	1
TRAM01201200	1
TRAM02002000	1
WHIG02002002	1
WHIL00600600	2
WHIL00600608	12
WHIL01001008	6
WHIL01001016	2
WHIL01201200	1
WHIL01201216	1
WHIL03002716	4
WHIM00400400	5
WHIM00400404	1
WHIM00600116	1
WHIM00600216	4
WHIM00600300	1
WHIM00600316	2
WHIM00600600	7
WHIM00600604	2
WHIM00600608	2
WHIM00600616	60
WHIM00800800	3
WHIM01001000	3
WHIM01001016	2
WHIM01201200	1
WHIM01601600	1
WHIM01801800	1
WHIM02002000	3
WHIS00600600	11
YELL01201200	1
YELL01201216	1
YELM00400400	6
YELM00600600	16
YELM00800800	4
YELM01001000	1
YELM01001016	3
YELM01201200	1
YELM02002000	2
YELS00600600	18
